PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0042,05_05001_000001,0000000-0500019,Ávila,-4.60461233_ ,40.95971716_ ,5001
TSI-068100-2024-0042,05_05178_000194,0000000-0500069,Ávila,-4.77513372_ ,41.12735214_ ,5178
TSI-068100-2024-0042,05_05129_000157,0000000-0500203,Ávila,-5.40882996_ ,40.53262364_ ,5129
TSI-068100-2024-0042,05_05008_000007,0000000-0500111,Ávila,-4.82948857_ ,41.03630065_ ,5008
TSI-068100-2024-0042,05_05235_000242,0000000-0500116,Ávila,-4.84034645_ ,41.07801262_ ,5235
TSI-068100-2024-0042,05_05152_000285,0000000-0500490,Ávila,-4.76602082_ ,41.01931179_ ,5152
TSI-068100-2024-0042,05_05007_000273,0000000-0500487,Ávila,-5.42066142_ ,40.38458522_ ,5007
TSI-068100-2024-0042,05_05253_000291,0000000-0500453,Ávila,-4.62571332_ ,40.82435729_ ,5253
TSI-068100-2024-0042,05_05117_000281,0000000-0500493,Ávila,-5.01024994_ ,41.01955218_ ,5117
TSI-068100-2024-0084,06_06100_000468,87641,Badajoz,-5.11404714_ ,38.81777663_ ,6100
TSI-068100-2024-0084,06_06085_000416,83787,Badajoz,-6.27558420_ ,38.08128288_ ,6085
TSI-068100-2024-0084,06_06018_000172,sin info_BA1068,Badajoz,-5.49486892_ ,38.69950621_ ,6018
TSI-068100-2024-0084,06_06072_000339,1784,Badajoz,-6.68276198_ ,38.84957851_ ,6072
TSI-068100-2024-0084,06_06085_000420,89015,Badajoz,-6.27962850_ ,38.16200974_ ,6086
TSI-068100-2024-0084,06_06054_000269,SPA-BA00392,Badajoz,-6.43929726_ ,38.52638580_ ,6054
TSI-068100-2024-0084,06_06056_000273,ES060014,Badajoz,-5.03059053_ ,39.08277871_ ,6056
TSI-068100-2024-0084,06_06108_000478,87693,Badajoz,-6.39229252_ ,38.39490242_ ,6108
TSI-068100-2024-0084,06_06085_000418,88994,Badajoz,-6.24452829_ ,38.07444424_ ,6085
TSI-068100-2024-0084,06_06117_000498,87787,Badajoz,-6.69904719_ ,38.48760739_ ,6117
TSI-068100-2024-0084,06_06107_000476,87692,Badajoz,-6.61478705_ ,39.18811509_ ,6107
